Winged,ESPORTSTMNT03_530594,RED,2,3,10,126066,5142,23736,28071,92,12,8326,1,23218,10205,21,119,
Sky,ESPORTSTMNT03_530594,RED,2,0,5,377864,11482,11399,11948,36,13,3661,1,9495,13508,292,36,
Sacy,ESPORTSTMNT03_530594,RED,5,1,5,169939,20840,6318,17541,19,7,2707,5,11293,14489,252,12,
Cabu,ESPORTSTMNT03_530594,RED,2,1,6,29832,4213,18490,7752,63,13,4832,5,13009,9353,73,0,
VVvert,ESPORTSTMNT03_530595,ONE,0,4,1,128494,9530,7201,552,20,4,14140,1,16510,10186,245,2,
4LaN,ESPORTSTMNT03_530595,ONE,0,3,1,123291,6209,16225,0,102,10,6785,1,23407,8186,20,126,
Marf,ESPORTSTMNT03_530595,ONE,1,1,2,278007,6285,9620,965,18,7,1321,1,7892,10212,258,20,
Lactea,ESPORTSTMNT03_530595,ONE,2,1,0,146100,17173,7196,1108,36,4,2793,4,7826,11242,281,5,
RedBert,ESPORTSTMNT03_530595,ONE,0,2,3,30219,8031,21031,0,66,19,2366,4,11367,7574,102,0,
Ayel,ESPORTSTMNT03_530595,ITZ,3,1,2,152844,13839,15864,7759,31,19,465,1,20359,12084,263,0,
Shini,ESPORTSTMNT03_530595,ITZ,2,0,7,139618,5529,22409,10452,66,24,30882,1,30386,10571,29,148,
Envy,ESPORTSTMNT03_530595,ITZ,4,0,5,328732,12756,6041,13968,27,9,1455,2,7435,12603,264,24,
Absolut,ESPORTSTMNT03_530595,ITZ,2,0,5,156194,13218,6691,15647,29,10,2327,5,6633,12807,262,6,
Ziriguidun,ESPORTSTMNT03_530595,ITZ,0,2,7,15667,4154,15224,903,65,22,8647,5,14443,8060,73,0,
Ayel,ESPORTSTMNT03_530602,ITZ,2,3,13,351700,22514,71847,8381,81,43,4089,1,62557,20242,421,12,
Shini,ESPORTSTMNT03_530602,ITZ,2,3,16,234115,11637,99795,15087,126,42,23640,1,72758,17447,106,133,
Envy,ESPORTSTMNT03_530602,ITZ,12,3,9,625476,47280,18316,32771,47,17,2484,1,28912,26238,516,26,
Absolut,ESPORTSTMNT03_530602,ITZ,11,5,10,457231,38765,74572,27524,42,26,7368,5,21908,24644,436,41,
Ziriguidun,ESPORTSTMNT03_530602,ITZ,2,3,24,29132,8404,97402,1189,139,50,31280,5,44455,15869,74,0,
VVvert,ESPORTSTMNT03_530602,ONE,5,4,8,605862,52161,22744,15158,53,40,9022,1,29277,24162,380,62,
4LaN,ESPORTSTMNT03_530602,ONE,0,11,14,161599,10627,85294,13323,162,29,9235,1,51968,16864,64,131,
Brucer,ESPORTSTMNT03_530602,ONE,4,5,11,483290,42378,10740,3725,61,175,5376,1,19731,21851,368,23,
Lactea,ESPORTSTMNT03_530602,ONE,7,5,4,616014,69216,40107,52772,106,30,5784,5,25879,27226,477,115,
RedBert,ESPORTSTMNT03_530602,ONE,1,4,10,101249,18590,75786,5588,125,83,10810,5,33160,16317,120,1,
VVvert,ESPORTSTMNT03_520862,ONE,2,1,9,125054,17734,32611,2334,41,49,3216,1,19892,13178,253,0,
4LaN,ESPORTSTMNT03_520862,ONE,2,1,5,145720,7304,23014,4355,71,22,11041,1,31654,12398,53,132,
Brucer,ESPORTSTMNT03_520862,ONE,1,1,5,301750,17998,28870,3929,34,18,2982,1,14585,12779,237,19,
Lactea,ESPORTSTMNT03_520862,ONE,6,1,5,237092,19649,14543,29127,93,27,3932,4,5966,18323,355,37,
RedBert,ESPORTSTMNT03_520862,ONE,2,1,8,47865,9500,29793,8787,73,34,3025,4,12854,12041,105,8,
Ayel,ESPORTSTMNT03_520862,ITZ,1,4,1,298505,8680,34412,4998,39,72,9405,1,31411,10649,227,4,
Shini,ESPORTSTMNT03_520862,ITZ,0,2,2,171439,14546,10289,16975,93,13,7668,1,19308,11308,50,152,
Envy,ESPORTSTMNT03_520862,ITZ,2,2,2,221395,9662,12067,3539,23,23,9879,1,17171,13192,336,17,
Absolut,ESPORTSTMNT03_520862,ITZ,2,1,2,220550,27585,6899,4285,46,2,4253,5,16504,14240,323,10,
Ziriguidun,ESPORTSTMNT03_520862,ITZ,0,4,3,22344,3747,23028,1583,82,9,5635,5,18020,8260,78,4,
Yang,ESPORTSTMNT03_520935,VK,0,2,0,137144,13198,29806,1800,23,47,10820,1,23829,9959,255,0,
Revolta,ESPORTSTMNT03_520935,VK,0,2,0,151450,6961,12730,13437,117,12,13253,1,25516,9594,60,124,
tockers,ESPORTSTMNT03_520935,VK,0,2,0,387784,7124,12653,1795,36,15,2028,1,14665,12111,326,12,
micaO,ESPORTSTMNT03_520935,VK,1,2,0,175944,21373,17199,6925,29,24,4564,4,13550,12256,288,11,
Jockster,ESPORTSTMNT03_520935,VK,0,1,1,42755,7987,28308,271,72,42,4375,5,16891,8569,109,0,
SkyBart,ESPORTSTMNT03_520935,PRG,1,0,4,100459,8888,23963,2981,42,62,6905,1,22639,10984,209,2,
Minerva,ESPORTSTMNT03_520935,PRG,0,1,7,106720,5550,16326,11337,125,11,7747,1,23263,10482,35,117,
Goku,ESPORTSTMNT03_520935,PRG,3,0,5,144490,17825,5755,21413,38,31,9144,3,13022,12400,219,16,
LUSKKA,ESPORTSTMNT03_520935,PRG,4,0,3,234805,23661,13658,33746,41,4,8162,5,11586,15858,317,22,
